recall,accuracy,best_epoch,num_layer,hidden_channels,lr,
0.00297,0.00405,0,3,0.001,128,0.2031
0.02446,0.02354,400,3,0.005,32,0.19234
0.03454,0.03448,1850,3,0.002,32,-0.57807
0.05711,0.04938,1800,3,0.001,32,-0.00784
0.05336,0.04713,1950,3,0.0005,32,-0.03399
0.05074,0.04535,1900,3,0.0002,32,0.2797
0.04591,0.04104,1950,3,0.0001,32,-0.0724
0.01147,0.01235,50,3,0.005,64,-0.09182
0.05986,0.05116,1750,3,0.002,64,-0.11612
0.06309,0.05297,1750,3,0.001,64,-0.02248
0.06087,0.0521,1950,3,0.0005,64,-0.30251
0.05623,0.04866,1950,3,0.0002,64,0.12672
0.0524,0.0463,1950,3,0.0001,64,-0.06156
0.02671,0.02492,350,3,0.005,128,-0.1869
0.06247,0.05233,1300,3,0.002,128,0.18995
0.06245,0.05263,1100,3,0.001,128,0.12972
0.06432,0.05415,1750,3,0.0005,128,0.32924
0.05881,0.05047,1950,3,0.0002,128,0.11485
0.05647,0.04922,1800,3,0.0001,128,0.18641
0.06131,0.05187,1950,3,0.0002,128,0.1434
0.01461,0.01257,0,3,0.005,256,-0.22949
0.06438,0.05397,1150,3,0.002,256,0.25089
0.06737,0.05569,1900,3,0.0005,128,-0.08056
0.06892,0.05749,1400,3,0.001,256,0.08407
0.06903,0.05689,1900,3,0.0005,256,0.21612
0.06298,0.05341,1950,3,0.0002,256,-0.14852
0.05907,0.05093,1900,3,0.0001,256,-0.0241
0.03155,0.02969,1900,4,0.005,32,0.46902
0.06364,0.05312,1750,4,0.002,32,0.16866
0.0627,0.05194,1850,4,0.001,32,-0.08939
0.05743,0.04963,1950,4,0.0005,32,0.13004
0.05376,0.0467,1950,4,0.0002,32,0.05498
0.05169,0.04557,1950,4,0.0001,32,0.06936
0.02303,0.02157,100,4,0.005,64,0.14679
0.06265,0.05177,1100,4,0.002,64,0.10121
0.06932,0.05568,1950,4,0.001,64,-0.1577
0.06496,0.05362,1800,4,0.0005,64,0.21841
0.06153,0.05091,1950,4,0.0002,64,-0.0607
0.05716,0.04876,1950,4,0.0001,64,0.35474
0.01147,0.01235,50,4,0.005,128,-0.17872
0.07444,0.05918,1800,4,0.002,128,0.15674
0.0659,0.05419,900,4,0.001,128,-0.18708
0.07083,0.05804,1950,4,0.0005,128,-0.18103
0.0644,0.05357,1950,4,0.0002,128,-0.22507
0.0605,0.05064,1950,4,0.0001,128,-0.00755
0.02218,0.02199,100,4,0.005,256,0.20673
0.07808,0.06158,1950,4,0.002,256,-0.27486
0.07317,0.05809,1100,4,0.001,256,-0.15516
0.07271,0.05898,1250,4,0.0005,256,-0.01035
0.06977,0.05698,1950,4,0.0002,256,0.08067
0.06493,0.05408,1950,4,0.0001,256,0.04297
0.02804,0.02807,1200,5,0.005,32,0.07443
0.06457,0.05413,1950,5,0.002,32,-0.11025
0.06353,0.05345,1750,5,0.001,32,-0.21981
0.06291,0.05224,1950,5,0.0005,32,-0.12134
0.05593,0.04794,1850,5,0.0002,32,-0.12784
0.05007,0.04492,1900,5,0.0001,32,0.17151
0.02442,0.02354,150,5,0.005,64,-0.18149
0.07622,0.06027,1800,5,0.002,64,-0.00141
0.07171,0.05826,1950,5,0.001,64,0.01844
0.06704,0.05552,1800,5,0.0005,64,0.35195
0.06206,0.05164,1950,5,0.0002,64,0.10385
0.05939,0.05018,1950,5,0.0001,64,0.09503
0.01147,0.01235,50,5,0.005,128,0.05097
0.06829,0.05532,800,5,0.002,128,-0.11344
0.07733,0.05985,1800,5,0.001,128,0.00326
0.07469,0.05857,1800,5,0.0005,128,-0.08273
0.06539,0.05444,1850,5,0.0002,128,-0.40132
0.06286,0.05223,1800,5,0.0001,128,-0.14369
0.02822,0.02884,1100,5,0.005,256,-0.10245
0.07688,0.06038,1450,5,0.002,256,0.19175
0.07511,0.05954,900,5,0.001,256,0.36422
0.07341,0.05785,1050,5,0.0005,256,-0.14664
0.07312,0.05847,1950,5,0.0002,256,0.2661
0.06733,0.05549,1950,5,0.0001,256,-0.02619
0.02446,0.02448,350,6,0.005,32,0.12632
0.06448,0.05372,1850,6,0.002,32,-0.22434
0.06541,0.05384,1900,6,0.001,32,0.13068
0.05985,0.05034,1950,6,0.0005,32,-0.18724
0.0542,0.04607,1950,6,0.0002,32,-0.03746
0.04668,0.04151,1950,6,0.0001,32,-0.12122
0.02255,0.02218,100,6,0.005,64,-0.26874
0.06278,0.05164,950,6,0.002,64,0.18475
0.07587,0.06004,1800,6,0.001,64,0.21429
0.06777,0.05457,1900,6,0.0005,64,-0.0502
0.06352,0.05293,1950,6,0.0002,64,0.12339
0.05515,0.04789,1950,6,0.0001,64,0.07395
0.03827,0.03588,1750,6,0.005,128,-0.14694
0.07104,0.05665,1450,6,0.002,128,0.20023
0.07383,0.05914,1800,6,0.001,128,-0.08575
0.07436,0.05837,1600,6,0.0005,128,0.13401
0.0686,0.05567,1950,6,0.0002,128,-0.03313
0.06162,0.05139,1950,6,0.0001,128,0.22115
0.01147,0.01235,50,6,0.005,256,0.15145
0.07399,0.05809,1850,6,0.002,256,-0.0368
0.07341,0.05863,1950,6,0.001,256,0.11867
0.07612,0.05914,900,6,0.0005,256,0.23493
0.07532,0.05937,1950,6,0.0002,256,0.23169
0.06918,0.0565,1950,6,0.0001,256,0.15714
0.04206,0.03926,1950,3,0.001,128,-0.40461
